iter	Passed	Remaining
0	1	163
1	3	173
2	5	171
3	6	158
4	8	156
5	9	151
6	11	148
7	12	144
8	14	144
9	16	145
10	17	144
11	19	142
12	21	142
13	22	140
14	24	137
15	25	134
16	27	133
17	28	132
18	30	131
19	32	129
20	47	180
21	50	177
22	52	174
23	54	171
24	56	168
25	57	165
26	60	162
27	61	159
28	63	155
29	65	151
30	66	147
31	68	144
32	69	141
33	71	138
34	73	136
35	75	133
36	76	130
37	78	127
38	79	124
39	81	121
40	82	119
41	83	115
42	85	113
43	87	111
44	89	108
45	90	106
46	92	103
47	93	101
48	95	99
49	97	97
50	99	95
51	100	92
52	102	90
53	103	88
54	104	85
55	105	83
56	107	80
57	108	78
58	110	76
59	112	75
60	114	73
61	115	71
62	117	68
63	118	66
64	120	64
65	122	63
66	124	61
67	125	59
68	127	57
69	128	55
70	130	53
71	131	51
72	133	49
73	135	47
74	137	45
75	138	43
76	140	41
77	141	39
78	143	38
79	144	36
80	146	34
81	147	32
82	149	30
83	151	28
84	152	26
85	154	25
86	155	23
87	157	21
88	158	19
89	160	17
90	162	16
91	164	14
92	165	12
93	167	10
94	168	8
95	170	7
96	171	5
97	172	3
98	174	1
99	176	0
